link,username,tweet
https://twitter.com/anyuser/status/856257722026786818,aboalmout,باي
https://twitter.com/anyuser/status/856251876760846336,aboalmout,طالعين مسيرات عنا والله 😳
https://twitter.com/anyuser/status/855830885886816258,aboalmout,"وأنتي كمان خففي حب الظهور فالدجاجة التي تملأ الدنيا صراخ عرفتي المتل
#سأصرعكم النهارده"
https://twitter.com/anyuser/status/855828449667297280,aboalmout,ولك لاتكن خاضعا ولاااك
https://twitter.com/anyuser/status/854808819054116864,aboalmout,"هادا البوست عن المباراي ماشي؟
تأهل روبيرتوس 😒"
https://twitter.com/anyuser/status/854429928691044352,aboalmout,لاااايك https://t.co/Jaxns7CrVR
https://twitter.com/anyuser/status/853924212767166464,aboalmout,"ولايزال الرصاص الطائش في التشييع عنوان للموت المضاعف.
هل لدينا دولة قادرة على سن قانون لكبح هؤلاء الحمقى؟؟ - يشعر بـالغضب"
https://twitter.com/anyuser/status/852953521318244353,aboalmout,"تقرصنت بواخر #الفيول 😭😭
ليه يا رب تعمل فينا كده ليه"
https://twitter.com/anyuser/status/852614546997088261,aboalmout,CC = SADAT
https://twitter.com/anyuser/status/852539749311098880,aboalmout,😂😂😂😂لا يا الله 😂😂😂😂 https://t.co/V9IiUCHZHN
https://twitter.com/anyuser/status/852247389721288704,aboalmout,"مباراي ولا مجلس الأمن 
شو بدنا ننشر هلق 😣 - يشعر بـالضياع"
https://twitter.com/anyuser/status/852198356571099137,aboalmout,"جيش من الدبلوماسية في شخص
#الجعفري حماك الله https://t.co/SGDKkKgvRH"
https://twitter.com/anyuser/status/851041645558738944,aboalmout,"أصرح وانا بكامل قواي العقلية بمايلي:
أنا شخص انطوائي غير منفتح على الآخرين ولا احب الاختلاط بالبشر او التواصل... https://t.co/Z5KFrsnpEx"
https://twitter.com/anyuser/status/850382333727428608,aboalmout,ولك خلص بقا ياعجان
https://twitter.com/anyuser/status/850019740529688576,aboalmout,شو مستعجل 😂😂😂😂😂😂😂😂😂 https://t.co/73TabADozE
https://twitter.com/anyuser/status/848228132792528896,aboalmout,😍منعنع😍 https://t.co/AZrdjtZT9R
https://twitter.com/anyuser/status/848072826150146048,aboalmout,ثمانية قطب - يشعر بـالألم
https://twitter.com/anyuser/status/847888613157351424,aboalmout,"مراسل العربية 😂 😂 
رو بيع جرابات رو 
ولاااك 
#راجمات_الجعفري_يامجننهم https://t.co/E8B98j7jdQ"
https://twitter.com/anyuser/status/847197437206913024,aboalmout,"كاتبة بوست سياسي وحضرتو معلق عندا منورة والتاني صورة ورد 😣 وحياة الله 
#شبكن"
https://twitter.com/anyuser/status/847183818352144384,aboalmout,"نحن لايجمعنا أي شيء سوى هذه القاعة....
#القذافي
أمة العار"
https://twitter.com/anyuser/status/845768835953299456,aboalmout,بتطلع بتصفن كتير https://t.co/6rylzNmbF7
https://twitter.com/anyuser/status/845343132581552128,aboalmout,"مبارك عليكم النصر 
مبارك علينا أنتم يارجال الله https://t.co/iQQg0sBgmc"
https://twitter.com/anyuser/status/843570048128237570,aboalmout,القديسين اليوم https://t.co/BNChyxETz7
https://twitter.com/anyuser/status/843442492292972544,aboalmout,"كراجات العباسيين بعيدة عن شواربك ولاااك 😜
#أنبياء_تقاتلكم"
